time,value
2024-07-16T00:46:37.910283264Z,{"lat":10.833938000060943,"lon":106.77355963460897}
2024-07-16T00:46:38.92061357Z,{"lat":10.833925833574355,"lon":106.77352461127809}
2024-07-16T00:46:39.940166191Z,{"lat":10.833907105799137,"lon":106.7734880282122}
2024-07-16T00:46:40.954137827Z,{"lat":10.833891349202922,"lon":106.77343486649234}
2024-07-16T00:46:41.960394822Z,{"lat":10.833884619840168,"lon":106.77338406728963}
2024-07-16T00:46:42.980723875Z,{"lat":10.833872027932633,"lon":106.77332719672947}
2024-07-16T00:46:44.013588013Z,{"lat":10.833854885016827,"lon":106.77327447825455}
2024-07-16T00:46:45.015260192Z,{"lat":10.833842647226156,"lon":106.77321941793295}
2024-07-16T00:46:46.056425263Z,{"lat":10.83383567091966,"lon":106.77317047397838}
2024-07-16T00:46:47.042087143Z,{"lat":10.833835702470873,"lon":106.77312982484749}
2024-07-16T00:46:48.077683659Z,{"lat":10.833839900792096,"lon":106.77309327956203}
2024-07-16T00:46:49.082497176Z,{"lat":10.83385196504075,"lon":106.77307112991666}
2024-07-16T00:46:50.092987919Z,{"lat":10.833846212697091,"lon":106.77307403098219}
2024-07-16T00:46:51.120327554Z,{"lat":10.83384671967322,"lon":106.7730498505385}
2024-07-16T00:46:52.130752363Z,{"lat":10.833832107759525,"lon":106.77299389393994}
2024-07-16T00:46:53.122451277Z,{"lat":10.833818387582927,"lon":106.77296762173937}
2024-07-16T00:46:54.141072897Z,{"lat":10.83380805485661,"lon":106.77293563867663}
2024-07-16T00:46:55.17269893Z,{"lat":10.833804559462273,"lon":106.77290385583603}
2024-07-16T00:46:56.167855736Z,{"lat":10.833799372475196,"lon":106.7728307978913}
2024-07-16T00:46:57.202644061Z,{"lat":10.833807963234412,"lon":106.77276744726927}
2024-07-16T00:46:58.226285529Z,{"lat":10.833798272295793,"lon":106.77270870595748}
2024-07-16T00:46:59.232231037Z,{"lat":10.833795211080128,"lon":106.77265792943264}
2024-07-16T00:47:00.25622582Z,{"lat":10.83377473441955,"lon":106.77260158034649}
2024-07-16T00:47:01.267458474Z,{"lat":10.833759064183269,"lon":106.77254200698675}
2024-07-16T00:47:02.282418153Z,{"lat":10.833753259059462,"lon":106.77247557296535}
2024-07-16T00:47:03.302550324Z,{"lat":10.833741685871228,"lon":106.77240891383182}
2024-07-16T00:47:04.312342179Z,{"lat":10.833737735081863,"lon":106.77234633088699}
2024-07-16T00:47:05.322520293Z,{"lat":10.8337262116155,"lon":106.77228686853375}
2024-07-16T00:47:06.342194356Z,{"lat":10.833715394776988,"lon":106.77216999774929}
2024-07-16T00:47:07.337725817Z,{"lat":10.833709098192353,"lon":106.77211845699796}
2024-07-16T00:47:08.382692858Z,{"lat":10.833704396955941,"lon":106.77206489153824}
2024-07-16T00:47:09.393605182Z,{"lat":10.833687944838994,"lon":106.7720153101134}
2024-07-16T00:47:10.405943293Z,{"lat":10.833659691543291,"lon":106.7719628284574}
2024-07-16T00:47:11.430855693Z,{"lat":10.833631612024831,"lon":106.7718992597028}
2024-07-16T00:47:12.440411501Z,{"lat":10.83361169488854,"lon":106.77184317696958}
2024-07-16T00:47:13.45232588Z,{"lat":10.833596099455198,"lon":106.77177965933986}
2024-07-16T00:47:14.469127808Z,{"lat":10.833571290729193,"lon":106.77171868861538}
2024-07-16T00:47:15.47289299Z,{"lat":10.83354414130389,"lon":106.77165181711909}
2024-07-16T00:47:16.504354259Z,{"lat":10.833508432536629,"lon":106.77158594601674}
2024-07-16T00:47:17.520894595Z,{"lat":10.833484660054694,"lon":106.77152049467779}
2024-07-16T00:47:18.53390579Z,{"lat":10.833460695492,"lon":106.77145084232583}
2024-07-16T00:47:19.547128975Z,{"lat":10.833428780830452,"lon":106.7713692470703}
2024-07-16T00:47:20.574113145Z,{"lat":10.833408122693552,"lon":106.77128732962613}
2024-07-16T00:47:21.580612696Z,{"lat":10.833381064646725,"lon":106.77121192124065}
2024-07-16T00:47:22.604250204Z,{"lat":10.833338651351395,"lon":106.77113568145066}
2024-07-16T00:47:23.610545848Z,{"lat":10.833297982731361,"lon":106.77106357115032}
2024-07-16T00:47:24.638486913Z,{"lat":10.833263181324284,"lon":106.77100603487033}
2024-07-16T00:47:25.626744251Z,{"lat":10.833234199130414,"lon":106.77095077469441}
2024-07-16T00:47:26.663916907Z,{"lat":10.8332110769499,"lon":106.7708977734025}
2024-07-16T00:47:27.674191514Z,{"lat":10.833176077927064,"lon":106.77085505006032}
2024-07-16T00:47:28.694146734Z,{"lat":10.833138906009534,"lon":106.77079732933178}
2024-07-16T00:47:29.714281954Z,{"lat":10.833110621251961,"lon":106.77073694445146}
2024-07-16T00:47:30.720840234Z,{"lat":10.833086232895264,"lon":106.77068434712076}
2024-07-16T00:47:31.738924956Z,{"lat":10.833062199072275,"lon":106.77062939167794}
2024-07-16T00:47:32.76057143Z,{"lat":10.83303748726128,"lon":106.77058544092291}
2024-07-16T00:47:33.761176586Z,{"lat":10.833009804582755,"lon":106.77053691366565}
2024-07-16T00:47:34.819046699Z,{"lat":10.832984368791122,"lon":106.77048902700746}
2024-07-16T00:47:35.785314964Z,{"lat":10.832966988779775,"lon":106.77044810961884}
2024-07-16T00:47:36.824122856Z,{"lat":10.83295185500288,"lon":106.7704116418382}
2024-07-16T00:47:37.83065627Z,{"lat":10.832929522007444,"lon":106.77037956530798}
2024-07-16T00:47:38.854369394Z,{"lat":10.832916480632077,"lon":106.77036267338077}
2024-07-16T00:47:39.860712819Z,{"lat":10.832922656535363,"lon":106.77033226056189}
2024-07-16T00:47:40.883773869Z,{"lat":10.832932161036616,"lon":106.77030934121441}
2024-07-16T00:47:41.89455554Z,{"lat":10.832952830199575,"lon":106.77028425090865}
2024-07-16T00:47:42.918855504Z,{"lat":10.832959418153672,"lon":106.77023597809337}
2024-07-16T00:47:43.920870114Z,{"lat":10.83298376819429,"lon":106.77017002134484}
2024-07-16T00:47:44.945052197Z,{"lat":10.833010911503663,"lon":106.77010961175587}
2024-07-16T00:47:45.953830614Z,{"lat":10.833036176811929,"lon":106.770053162403}
2024-07-16T00:47:46.971192334Z,{"lat":10.833055773272875,"lon":106.77001036732929}
2024-07-16T00:47:47.990879701Z,{"lat":10.833071387999567,"lon":106.7699677813326}
2024-07-16T00:47:49.000926216Z,{"lat":10.833090355904663,"lon":106.76992720542461}
